"Input sRGB u8","Input sRGB f32","Linear u8","Linear f32","Actual Linear f32","Linear Error","Output sRGB u8","Output sRGB f32","Output Error"
0,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000
1,0.003922,0,0.000000,0.000047,0.000047,0,0.000000,0.003922
2,0.007843,0,0.000000,0.000162,0.000162,0,0.000000,0.007843
3,0.011765,0,0.000000,0.000337,0.000337,0,0.000000,0.011765
4,0.015686,0,0.000000,0.000565,0.000565,0,0.000000,0.015686
5,0.019608,0,0.000000,0.000844,0.000844,0,0.000000,0.019608
6,0.023529,0,0.000000,0.001172,0.001172,0,0.000000,0.023529
7,0.027451,0,0.000000,0.001547,0.001547,0,0.000000,0.027451
8,0.031373,0,0.000000,0.001967,0.001967,0,0.000000,0.031373
9,0.035294,0,0.000000,0.002431,0.002431,0,0.000000,0.035294
10,0.039216,0,0.000000,0.002939,0.002939,0,0.000000,0.039216
11,0.043137,0,0.000000,0.003489,0.003489,0,0.000000,0.043137
12,0.047059,1,0.003922,0.004081,0.000159,11,0.046029,0.001030
13,0.050980,1,0.003922,0.004713,0.000792,11,0.046029,0.004951
14,0.054902,1,0.003922,0.005386,0.001464,11,0.046029,0.008873
15,0.058824,1,0.003922,0.006098,0.002176,11,0.046029,0.012794
16,0.062745,1,0.003922,0.006849,0.002928,11,0.046029,0.016716
17,0.066667,1,0.003922,0.007639,0.003717,11,0.046029,0.020637
18,0.070588,2,0.007843,0.008467,0.000624,17,0.067651,0.002938
19,0.074510,2,0.007843,0.009332,0.001489,17,0.067651,0.006859
20,0.078431,2,0.007843,0.010235,0.002392,17,0.067651,0.010781
21,0.082353,2,0.007843,0.011174,0.003331,17,0.067651,0.014702
22,0.086275,3,0.011765,0.012150,0.000386,21,0.084742,0.001532
23,0.090196,3,0.011765,0.013162,0.001398,21,0.084742,0.005454
24,0.094118,3,0.011765,0.014210,0.002446,21,0.084742,0.009375
25,0.098039,3,0.011765,0.015294,0.003529,21,0.084742,0.013297
26,0.101961,4,0.015686,0.016413,0.000726,25,0.099429,0.002532
27,0.105882,4,0.015686,0.017566,0.001880,25,0.099429,0.006454
28,0.109804,4,0.015686,0.018755,0.003069,25,0.099429,0.010375
29,0.113725,5,0.019608,0.019978,0.000370,28,0.112551,0.001174
30,0.117647,5,0.019608,0.021235,0.001627,28,0.112551,0.005096
31,0.121569,5,0.019608,0.022526,0.002918,28,0.112551,0.009017
32,0.125490,6,0.023529,0.023851,0.000321,31,0.124549,0.000941
33,0.129412,6,0.023529,0.025209,0.001679,31,0.124549,0.004863
34,0.133333,6,0.023529,0.026601,0.003071,31,0.124549,0.008785
35,0.137255,7,0.027451,0.028025,0.000574,34,0.135685,0.001570
36,0.141176,7,0.027451,0.029483,0.002032,34,0.135685,0.005491
37,0.145098,7,0.027451,0.030974,0.003523,34,0.135685,0.009413
38,0.149020,8,0.031373,0.032497,0.001124,37,0.146134,0.002886
39,0.152941,8,0.031373,0.034052,0.002680,37,0.146134,0.006808
40,0.156863,9,0.035294,0.035640,0.000346,39,0.156016,0.000847
41,0.160784,9,0.035294,0.037260,0.001966,39,0.156016,0.004769
42,0.164706,9,0.035294,0.038911,0.003617,39,0.156016,0.008690
43,0.168627,10,0.039216,0.040595,0.001379,42,0.165420,0.003207
44,0.172549,10,0.039216,0.042310,0.003094,42,0.165420,0.007129
45,0.176471,11,0.043137,0.044057,0.000919,44,0.174415,0.002055
46,0.180392,11,0.043137,0.045834,0.002697,44,0.174415,0.005977
47,0.184314,12,0.047059,0.047644,0.000585,46,0.183054,0.001260
48,0.188235,12,0.047059,0.049484,0.002425,46,0.183054,0.005182
49,0.192157,13,0.050980,0.051355,0.000374,48,0.191377,0.000779
50,0.196078,13,0.050980,0.053257,0.002276,48,0.191377,0.004701
51,0.200000,14,0.054902,0.055189,0.000287,50,0.199421,0.000579
52,0.203922,14,0.054902,0.057152,0.002250,50,0.199421,0.004501
53,0.207843,15,0.058824,0.059146,0.000322,52,0.207213,0.000630
54,0.211765,15,0.058824,0.061170,0.002346,52,0.207213,0.004552
55,0.215686,16,0.062745,0.063224,0.000479,54,0.214777,0.000909
56,0.219608,16,0.062745,0.065308,0.002563,54,0.214777,0.004830
57,0.223529,17,0.066667,0.067422,0.000755,56,0.222134,0.001395
58,0.227451,17,0.066667,0.069566,0.002899,56,0.222134,0.005317
59,0.231373,18,0.070588,0.071740,0.001152,58,0.229301,0.002071
60,0.235294,18,0.070588,0.073943,0.003355,58,0.229301,0.005993
