"Input sRGB u8","Input sRGB f32","Linear u8","Linear f32","Actual Linear f32","Linear Error","Output sRGB u8","Output sRGB f32","Output Error"
0,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000
1,0.003922,0,0.000000,0.000005,0.000005,0,0.000000,0.003922
2,0.007843,0,0.000000,0.000023,0.000023,0,0.000000,0.007843
3,0.011765,0,0.000000,0.000057,0.000057,0,0.000000,0.011765
4,0.015686,0,0.000000,0.000107,0.000107,0,0.000000,0.015686
5,0.019608,0,0.000000,0.000175,0.000175,0,0.000000,0.019608
6,0.023529,0,0.000000,0.000262,0.000262,0,0.000000,0.023529
7,0.027451,0,0.000000,0.000367,0.000367,0,0.000000,0.027451
8,0.031373,0,0.000000,0.000493,0.000493,0,0.000000,0.031373
9,0.035294,0,0.000000,0.000638,0.000638,0,0.000000,0.035294
10,0.039216,0,0.000000,0.000805,0.000805,0,0.000000,0.039216
11,0.043137,0,0.000000,0.000992,0.000992,0,0.000000,0.043137
12,0.047059,0,0.000000,0.001202,0.001202,0,0.000000,0.047059
13,0.050980,0,0.000000,0.001433,0.001433,0,0.000000,0.050980
14,0.054902,0,0.000000,0.001687,0.001687,0,0.000000,0.054902
15,0.058824,0,0.000000,0.001963,0.001963,0,0.000000,0.058824
16,0.062745,0,0.000000,0.002263,0.002263,0,0.000000,0.062745
17,0.066667,0,0.000000,0.002586,0.002586,0,0.000000,0.066667
18,0.070588,0,0.000000,0.002932,0.002932,0,0.000000,0.070588
19,0.074510,0,0.000000,0.003303,0.003303,0,0.000000,0.074510
20,0.078431,0,0.000000,0.003697,0.003697,0,0.000000,0.078431
21,0.082353,1,0.003922,0.004116,0.000195,20,0.080560,0.001793
22,0.086275,1,0.003922,0.004560,0.000638,20,0.080560,0.005715
23,0.090196,1,0.003922,0.005028,0.001107,20,0.080560,0.009636
24,0.094118,1,0.003922,0.005522,0.001600,20,0.080560,0.013558
25,0.098039,1,0.003922,0.006041,0.002119,20,0.080560,0.017479
26,0.101961,1,0.003922,0.006585,0.002663,20,0.080560,0.021401
27,0.105882,1,0.003922,0.007155,0.003233,20,0.080560,0.025323
28,0.109804,1,0.003922,0.007751,0.003829,20,0.080560,0.029244
29,0.113725,2,0.007843,0.008373,0.000530,28,0.110395,0.003330
30,0.117647,2,0.007843,0.009021,0.001178,28,0.110395,0.007252
31,0.121569,2,0.007843,0.009696,0.001853,28,0.110395,0.011173
32,0.125490,2,0.007843,0.010398,0.002555,28,0.110395,0.015095
33,0.129412,2,0.007843,0.011126,0.003283,28,0.110395,0.019017
34,0.133333,3,0.011765,0.011881,0.000117,33,0.132737,0.000597
35,0.137255,3,0.011765,0.012664,0.000899,33,0.132737,0.004518
36,0.141176,3,0.011765,0.013473,0.001709,33,0.132737,0.008440
37,0.145098,3,0.011765,0.014311,0.002546,33,0.132737,0.012361
38,0.149020,3,0.011765,0.015175,0.003411,33,0.132737,0.016283
39,0.152941,4,0.015686,0.016068,0.000381,38,0.151280,0.001661
