"training index","error","cost","weight","bias","dCost/dWeight","dCost/dBias","dCost/dInput"
"0","0.689974","0.238032","0.300000","0.500000","0.147592","0.147592","0.044278",
"204","0.055732","0.001553","-1.514930","-1.314929","0.002933","0.002933","-0.004443",
"408","0.037943","0.000720","-1.716493","-1.516492","0.001385","0.001385","-0.002377",
"612","0.030487","0.000465","-1.829740","-1.629740","0.000901","0.000901","-0.001649",
"816","0.026158","0.000342","-1.908552","-1.708552","0.000666","0.000666","-0.001272",
"1020","0.023250","0.000270","-1.968958","-1.768957","0.000528","0.000528","-0.001040",
"1224","0.021128","0.000223","-2.017904","-1.817903","0.000437","0.000437","-0.000882",
"1428","0.019492","0.000190","-2.059031","-1.859030","0.000373","0.000373","-0.000767",
"1632","0.018182","0.000165","-2.094484","-1.894483","0.000325","0.000325","-0.000680",
"1836","0.017103","0.000146","-2.125633","-1.925633","0.000288","0.000288","-0.000611",
"2040","0.016194","0.000131","-2.153407","-1.953405","0.000258","0.000258","-0.000556",
"2244","0.015414","0.000119","-2.178462","-1.978460","0.000234","0.000234","-0.000510",
"2448","0.014737","0.000109","-2.201281","-2.001278","0.000214","0.000214","-0.000471",
"2652","0.014141","0.000100","-2.222228","-2.022226","0.000197","0.000197","-0.000438",
"2856","0.013611","0.000093","-2.241587","-2.041585","0.000183","0.000183","-0.000410",
"3060","0.013136","0.000086","-2.259580","-2.059578","0.000170","0.000170","-0.000385",
"3264","0.012708","0.000081","-2.276386","-2.076384","0.000159","0.000159","-0.000363",
"3468","0.012318","0.000076","-2.292153","-2.092150","0.000150","0.000150","-0.000344",
"3672","0.011962","0.000072","-2.306999","-2.106997","0.000141","0.000141","-0.000326",
"3876","0.011635","0.000068","-2.321028","-2.121025","0.000134","0.000134","-0.000311",
"4080","0.011333","0.000064","-2.334323","-2.134320","0.000127","0.000127","-0.000296",
"4284","0.011053","0.000061","-2.346957","-2.146955","0.000121","0.000121","-0.000284",
"4488","0.010793","0.000058","-2.358993","-2.158991","0.000115","0.000115","-0.000272",
"4692","0.010551","0.000056","-2.370484","-2.170482","0.000110","0.000110","-0.000261",
"4896","0.010324","0.000053","-2.381479","-2.181476","0.000105","0.000105","-0.000251",
"5100","0.010110","0.000051","-2.392016","-2.192014","0.000101","0.000101","-0.000242",
"5304","0.009910","0.000049","-2.402134","-2.202132","0.000097","0.000097","-0.000234",
"5508","0.009721","0.000047","-2.411864","-2.211861","0.000094","0.000094","-0.000226",
"5712","0.009542","0.000046","-2.421234","-2.221231","0.000090","0.000090","-0.000218",
"5916","0.009373","0.000044","-2.430271","-2.230268","0.000087","0.000087","-0.000211",
"6120","0.009212","0.000042","-2.438996","-2.238994","0.000084","0.000084","-0.000205",
"6324","0.009059","0.000041","-2.447431","-2.247429","0.000081","0.000081","-0.000199",
"6528","0.008914","0.000040","-2.455594","-2.255591","0.000079","0.000079","-0.000193",
"6732","0.008775","0.000039","-2.463502","-2.263499","0.000076","0.000076","-0.000188",
"6936","0.008643","0.000037","-2.471171","-2.271169","0.000074","0.000074","-0.000183",
"7140","0.008516","0.000036","-2.478614","-2.278612","0.000072","0.000072","-0.000178",
"7344","0.008395","0.000035","-2.485846","-2.285844","0.000070","0.000070","-0.000174",
"7548","0.008279","0.000034","-2.492876","-2.292874","0.000068","0.000068","-0.000169",
"7752","0.008167","0.000033","-2.499716","-2.299713","0.000066","0.000066","-0.000165",
"7956","0.008060","0.000032","-2.506376","-2.306373","0.000064","0.000064","-0.000162",
"8160","0.007957","0.000032","-2.512865","-2.312863","0.000063","0.000063","-0.000158",
"8364","0.007858","0.000031","-2.519193","-2.319191","0.000061","0.000061","-0.000154",
"8568","0.007762","0.000030","-2.525366","-2.325363","0.000060","0.000060","-0.000151",
"8772","0.007670","0.000029","-2.531391","-2.331389","0.000058","0.000058","-0.000148",
"8976","0.007581","0.000029","-2.537277","-2.337274","0.000057","0.000057","-0.000145",
"9180","0.007495","0.000028","-2.543027","-2.343024","0.000056","0.000056","-0.000142",
"9384","0.007411","0.000027","-2.548651","-2.348649","0.000055","0.000055","-0.000139",
"9588","0.007331","0.000027","-2.554151","-2.354149","0.000053","0.000053","-0.000136",
"9792","0.007253","0.000026","-2.559537","-2.359535","0.000052","0.000052","-0.000134",
"9996","0.007177","0.000026","-2.564807","-2.364805","0.000051","0.000051","-0.000131",
"9999","0.007176","0.000026","-2.564884","-2.364882","0.000051","0.000051","-0.000131",
