"training index","error","cost"
"0","0.772491","0.298371"
"102","0.152877","0.011686"
"204","0.088183","0.003888"
"306","0.065221","0.002127"
"408","0.052931","0.001401"
"510","0.045077","0.001016"
"612","0.039537","0.000782"
"714","0.035374","0.000626"
"816","0.032106","0.000515"
"918","0.029458","0.000434"
"1020","0.027258","0.000371"
"1122","0.025395","0.000322"
"1224","0.023791","0.000283"
"1326","0.022394","0.000251"
"1428","0.021163","0.000224"
"1530","0.020068","0.000201"
"1632","0.019086","0.000182"
"1734","0.018200","0.000166"
"1836","0.017395","0.000151"
"1938","0.016660","0.000139"
"2040","0.015986","0.000128"
"2142","0.015364","0.000118"
"2244","0.014789","0.000109"
"2346","0.014255","0.000102"
"2448","0.013758","0.000095"
"2550","0.013293","0.000088"
"2652","0.012858","0.000083"
"2754","0.012450","0.000077"
"2856","0.012065","0.000073"
"2958","0.011702","0.000068"
"3060","0.011360","0.000065"
"3162","0.011035","0.000061"
"3264","0.010727","0.000058"
"3366","0.010435","0.000054"
"3468","0.010157","0.000052"
"3570","0.009892","0.000049"
"3672","0.009639","0.000046"
"3774","0.009398","0.000044"
"3876","0.009167","0.000042"
"3978","0.008946","0.000040"
"4080","0.008734","0.000038"
"4182","0.008531","0.000036"
"4284","0.008336","0.000035"
"4386","0.008148","0.000033"
"4488","0.007968","0.000032"
"4590","0.007794","0.000030"
"4692","0.007626","0.000029"
"4794","0.007465","0.000028"
"4896","0.007309","0.000027"
"4998","0.007159","0.000026"
"4999","0.007157","0.000026"
